project,totalMerges,totalFastFowardMerges,totalOtherMerges
mpush,95,0,95
Auto.js,43,9,34
Aria,94,0,94
ffmpeg-android-java,49,33,16
uhabits,127,53,74
qksms,125,46,79
web3j,248,76,172
AboutLibraries,309,146,163
MovieGuide,46,35,11
tray,63,34,29
ReactiveNetwork,96,89,7
TableView,43,19,24
Phonograph,112,24,88
UltimateAndroid,70,16,54
ShimmerLayout,34,25,9
Smack,217,47,170
react-native-mapbox-gl,281,158,123
materialistic,552,166,386
Shuttle,103,38,65
PlaceHolderView,46,12,34
Twidere-Android,104,29,75
Cicerone,50,30,20
android_packages_apps_GmsCore,46,26,20
Andromeda,60,21,39
smooth-app-bar-layout,62,30,32
AndroidGodEye,45,14,31
android-about-page,71,23,48
TinyDancer,39,23,16
AirMapView,67,47,20
Just-Another-Android-App,44,23,21
react-native-fcm,108,53,55
Minimal-Todo,34,17,17
react-native-share,112,59,53
ExoMedia,123,48,75
Simple-Calendar,378,279,99
SlideUp-Android,37,21,16
YalpStore,47,2,45
Moxy,100,47,53
material-intro,54,31,23
CompactCalendarView,46,8,38
MaterialAbout,45,24,21
MyDiary,86,45,41
anvil,37,21,16
Amigo,105,72,33
Router,50,7,43
CNode-Material-Design,224,224,0
FancyShowCaseView,33,16,17
Hyperion-Android,88,53,35
android,2497,864,1633
expandable-recycler-view,99,58,41
javacpp-presets,32,19,13
MiPushFramework,64,19,45
dart,82,56,26
CacheWebView,60,12,48
conference-app-2018,526,170,356
toro,93,71,22
MaterialTapTargetPrompt,33,21,12
Voice,217,76,141
orgzly-android,111,25,86
StreetComplete,194,62,132
syncthing-android,135,83,52
keepass2android,121,14,107
Virtualview-Android,68,34,34
Slide,707,272,435
material-about-library,43,22,21
ThirtyInch,110,63,47
chat-sdk-android,98,20,78
Circle-Progress-View,33,16,17
DebugDrawer,60,33,27
andOTP,73,22,51
phphub-android,54,4,50
Silence,262,131,131
android-youtube-player,42,18,24
proteus,83,36,47
FragNav,71,30,41
MaterialSearchView,51,22,29
FXGL,65,42,23
CardStackView,39,34,5
talon-for-twitter-android,401,7,394
AdvancedAndroid,36,5,31
toothpick,130,81,49
truetime-android,32,14,18
FloatingActionButtonSpeedDial,45,37,8
KAndroid,41,23,18
UsbSerial,71,37,34
WiFiAnalyzer,122,25,97
react-native-ble-manager,118,82,36
material-remixer-android,110,53,57
SwipeableCard,34,4,30
Simple-Gallery,691,505,186
android-proguards,80,43,37
Rocket.Chat.Android,1701,657,1044
android,126,41,85
SingleDateAndTimePicker,80,42,38
AndroidAnimationExercise,34,1,33
Fetch,79,5,74
rtmp-rtsp-stream-client-java,32,13,19
Tusky,239,88,151
apkupdater,66,25,41
Etar-Calendar,3293,87,3206
CodeView-Android,32,23,9
openlauncher,118,53,65
TextFieldBoxes,39,10,29
bookdash-android-app,53,26,27
libretorrent,71,44,27
react-native-sentry,76,46,30
Clover,59,21,38
CountryCodePickerProject,80,38,42
aws-sdk-android,37,11,26
AppiumTestDistribution,56,20,36
AnyChart-Android,52,3,49
habitica-android,291,68,223
quill,39,5,34
Gitskarios,264,114,150
SkyTube,259,45,214
okreplay,57,27,30
Applozic-Android-SDK,312,52,260
NumberPicker,48,41,7
Remindly,33,2,31
mobius,40,27,13
CompositeAndroid,57,37,20
apps-android-commons,1004,366,638
Splitties,59,37,22
dsl-json,37,33,4
androidclient,1275,44,1231
awesome-conferences-database,95,14,81
Android-Support-Preference-V7-Fix,38,12,26
Learning-Resources,250,126,124
NetworkEvents,56,45,11
react-native-sensitive-info,65,47,18
OnActivityResult,42,33,9
linphone-android,210,6,204
RxPaparazzo,33,19,14
MaterialDrawerKt,41,23,18
Android-Orma,306,240,66
download-manager,502,220,282
forecastie,183,94,89
binaryprefs,49,24,25
Leku,91,62,29
EvilsLive,33,11,22
fakeit,37,25,12
libaums,74,38,36
MVICore,54,35,19
anyRTC-RTMPC-Android,41,2,39
arcgis-runtime-samples-android,419,245,174
samourai-wallet-android,321,33,288
Kotpref,108,86,22
android_packages_apps_UnifiedNlp,30,23,7
MultiImagePicker,30,12,18
retroauth,41,20,21
red-moon,105,26,79
lunar-unity-console,60,37,23
FishBun,106,50,56
realm-android-adapters,52,26,26
collect,404,96,308
flutter_local_notifications,69,58,11
android-studio-poet,145,85,60
deltachat-android,144,67,77
ActivityStarter,34,5,29
AztecEditor-Android,577,211,366
workflow,145,90,55
KeePassDX,159,42,117
Simple-File-Manager,139,114,25
RetroMusicPlayer,44,18,26
openfoodfacts-androidapp,272,63,209
JOML,49,17,32
glucosio-android,145,49,96
sitewhere,77,28,49
MinMinGuard,86,40,46
PickImage,45,14,31
Simple-Camera,105,84,21
lost,36,33,3
ElasticProgressBar,49,0,49
Simple-Music-Player,103,91,12
openhab-android,46,16,30
AndroidN-ify,60,17,43
gandalf,62,46,16
Blackbulb,33,19,14
FaceSlim,118,82,36
AndrOBD,47,3,44
settlers-remake,581,201,380
braintree_android,73,35,38
squanchy-android,700,371,329
android-app,302,162,140
nextcloud-notes,48,15,33
trianglify,45,37,8
My-Wallet-V3-Android,1368,478,890
android-daily-tips,101,56,45
WiseFy,47,28,19
Jockey,311,233,78
matomo-sdk-android,120,64,56
dont-kill-my-app,54,6,48
android-app,299,140,159
telegram-sms,69,14,55
TrebleShot,117,7,110
LabCoat,96,43,53
flutterlocation,30,18,12
MjolnirRecyclerView,59,38,21
android-money-manager-ex,226,69,157
mapbox-navigation-android,74,50,24
cordova-plugin-app-update,60,30,30
Android-Rich-text-Editor,50,9,41
react-native-agora,32,20,12
mapbox-java,41,28,13
prefser,47,39,8
Ok2Curl,36,25,11
android-gradle-aspectj,59,17,42
transport-eta,45,22,23
LicenseAdapter,41,28,13
libphonenumber-android,118,58,60
Memento-Calendar,281,124,157
WindView,33,3,30
MediaPicker,36,20,16
Simple-Notes,140,119,21
edx-app-android,1202,793,409
APlayer,83,1,82
nfcgate,61,17,44
Resplash,30,4,26
auto-value-cursor,37,32,5
microMathematics,34,15,19
