mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay, existsCommonPackages, totalCommonPackages
f418aa3e3ee76577fdfe5ea01dacc6290200659f,0,0,0,0,0,8.0,6.24,3.0,3.0,1.0,1.0,0,45.5,42.0,13.0,10.25,24.0,6.86,0,1,1
4cbfb0bb484faabb1e849e901db6b2a416135be5,1,0,0,1,7,11.0,4.58,4.0,2.65,3.5,3.46,1,4.5,2.83,9.5,9.49,717.0,661.75,1,1,4
e4575f59cb88a53d32ca5d481703574d9992480c,0,0,0,0,0,5.0,4.0,2.0,1.73,6.5,3.46,11,20.5,12.17,3.5,2.45,9.5,9.38,12,0,0
544ecd1c497099eb67da403e027af221241708b7,1,0,0,1,8,3.5,3.16,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,3.5,3.16,0,0,0
3a91b49cda4c15c835a0e4e8e06febe266712c37,1,1,1,1,1,5.5,3.16,1.0,1.0,1.0,1.0,0,23.0,6.71,8.5,6.48,400.5,28.28,0,0,0
0a8259d5a8b4387f06765f88cda64296539734e9,0,0,0,0,0,1.0,1.0,1.0,1.0,4.0,2.65,6,1.0,1.0,1.5,1.41,50.0,9.95,7,0,0
04f95ce7f2bc1d58ab149854a8a3c633956cb0dd,0,1,2,0,0,11.0,7.55,1.0,1.0,1.0,1.0,0,31.5,15.36,14.0,7.21,416.0,28.83,0,1,5
8c876225b42c9233930c4b82ba1a06af644966c0,0,0,0,0,0,1.5,1.41,1.0,1.0,13.0,8.31,20,3.5,2.45,37.5,8.6,11634.5,152.54,20,0,0
e300c1383eb06892034d7e5cf0206e1993ff1bdf,0,1,1,0,0,1.0,1.0,1.0,1.0,13.5,5.1,25,1.0,1.0,2.0,1.73,2.0,1.73,26,1,1
332eee0736b36ff1dd37358c41db26c8f4e3a188,0,1,1,0,0,26.0,12.12,1.0,1.0,19.0,6.08,36,49.5,48.58,182.5,42.43,5519.5,611.69,37,1,8
69ca9ec3af3c34ccbf36828731c68571ab22065f,0,1,3,0,0,11.5,10.58,1.0,1.0,12.0,4.8,22,84.0,82.99,38.5,37.55,2112.0,1950.5,23,1,20
40da3e5dec6fcb2758d12c9f242b3b57f49f88a2,1,0,0,1,1,26.5,14.0,3.0,2.24,16.0,13.23,18,53.0,52.85,29.5,25.69,540.5,533.69,18,1,12
