mergeID,isConfliting,existsCommonSlices,totalCommonSlices
853cde4ff529c919663139a85de5ae6893616118,0,0,0
36dd49ce60cfecabcd625661534a43a6709e66ed,0,0,0
a90d58d7a5452fc128390f8115d602619b6b089a,1,1,3
a6865a760fc09cbdcbb06de9e85deda7b5628915,0,0,0
cfe4a7ee85f9a35013d0b7e009c524a046d05f62,0,1,572
242c9ac3cbe1b5be6e3a85049a5d7a4e26e11b02,1,0,0
58d241b48d72a4b338f235ebfab499071b5ace0c,0,0,0
cca2bb1247c80b025e12b00c3ca9943d3268fa4f,0,0,0
295035f59a0d3026f271d2257770af5199c5c9f8,0,0,0
f8458ec971aeccfe2aaa49465738d847d693e1e0,0,0,0
8a57c222311eb19781ab49db116d78d5fa081a81,0,1,3
a4bbcb394d0aa9f7ff9a9e65972c2a393ad38cb8,0,0,0
64e94176a978228434ccea61cf9370679f6953dd,0,0,0
7b70f41fabe0bde42e34f3b3dc3f574956c30c53,0,0,0
562ad0c91333435505b4c6e66be886be1f4a4270,0,0,0
6e4f4222b765d23d9d01dd70500700ced512713c,1,0,0
b64594355da89642f4e790c58287b3add1e672ec,0,0,0
f78140ecca15ca4fcfd3f09319692c0986e63d17,0,0,0
0553c0b75f0c8c51ee01c86118f1c6d993a60b0f,1,1,40
f0b100a23beaf8031bebe1efb57ce66cab24983e,0,0,0
fcd6e75afcafea2f054940428688fc3e66cc1b6f,0,1,2
7f79e121991d1b4d3b1e85ee9181b8cc848614da,1,1,28
f4d2118bb02b748ff2d4a2519df0bd07c40722eb,0,1,1
bbb8bb029bcecc7c58b12f1959e20e34fa6c23fd,0,1,1
db511a352e7620579a2535d1dfe3c685add92e91,0,0,0
00eb0af8085464aac61548020b412ec0df21d983,0,1,1
d1bbdf074b2b85ed5ea33eb902feb039ce40b656,0,1,2
aff2e3cfd8d579bef75f502b3b34d02d9b70aee9,0,1,484
485ca982b5e2978b184841a1e4729d24b70e0f02,0,0,0
8cf856ab04be5d6889a80180b76a51ed1fbf7f59,1,1,5
df884e57e2d0e4ab5356a563bb8161ac422045ba,0,0,0
