mergeID,isConfliting,existsCommonSlices,totalCommonSlices
a230b7d8214536a5e42d104685e694452f44a312,0,0,0
5cbf092f3bde5c185c1826a941909db5f2a32c7d,1,1,34
4d256b7323d5a00b081508b13eb9141ab3aa9035,0,1,1
8864f51f039a66fcca5791912228907079ef4447,0,0,0
a3a758448a9aa1dd7ae9302741d8fa5259d5790d,0,0,0
a4d3e45c1418f78cd7002817e38b97aea94b0221,0,0,0
c3aa861a334841ba4cea3cd19cd829318a05428b,0,0,0
3a32db36b8104e167a9fd2829b5306aa62c5e9f7,0,0,0
27bbe3ae80d9773a53e8e56dbb8990a8003489d7,0,1,6
e7c69534ddbb0acbb587d607cd5aa724e35e585b,0,0,0
4878a30d666fdb38fc1991b56ab347a04307e3c6,0,1,1
9406108c61e42b6ad8942e5cce0c87c01c061473,0,1,1
cf8deb12efb5032cb5a79dc0adcca333cbcfd706,0,0,0
724ded484756b1a7374227208b607c90cec335bb,0,0,0
07ac1e59ba445585f7a06d40004a05df7f59e581,0,0,0
365afedaadcea3fc0fbff441f97c802d044c992f,0,1,3
cfef273eba571d1f781e256a8521ea176b7b2797,0,0,0
a89dd28e23eb7f2846aaed868b9c1f4755ccdf51,0,1,3
cba6e728d2b6c6b791b37604e60557fb405e3b71,0,1,2
56318ae99ce9965dcadd411b6f123d52da766901,0,1,2
0062cab1066d42d546d4a2e13012db9d2071db16,1,1,6
ff5b136351ccf6a932eb4f49d9707c6e16d38bb5,0,0,0
debeb124afbd00ee815acdf168173fb32b7f81df,0,0,0
8accc12048f14e9c5e851354d1231af9838ec9da,0,1,2
f0ef51aaadfaa8ff061a7f4847095889af2302ef,0,0,0
6ff24f99b57c0bb2a5b5d286df0a8ab37cc5f218,0,1,2
d0ed378e1ed6daa806dd3492f204332644134b16,0,1,1
3fa6c1bc200b161801a8e9dbd328e2da08d32522,0,1,2
8da8bf6af652b4d767d9c49d8202bef2ef4704bb,0,0,0
8f02a4b6d70a6fb0e2f931445bb7ce3bff81a2b3,0,1,15
44eb1a9cfd6d43f45ad3dedc7079998133a2ea3a,0,0,0
6fd909689dbcb6f8d73b8e048061191f052959cb,0,0,0
1ffcb4940260520ad01a7322cdce9ed352709d70,0,1,1
58e7118618b256f0a0cdff8750d5e6bb3c8ba8a8,0,0,0
4a1e728ac519d686f738aa1875802f6221b564c3,0,0,0
eaa1745fa67b7d8a86f5f26e22fa23e6c33c3073,0,0,0
0cdc5aea478244ebd9e0c279658d28f3e9a0c9a0,0,0,0
8e281890dd1a41cbb969e32c16d57f6ecff93953,0,1,1
30a9d0f5f320c18fbc9bbcf2ecb1c9b0eee6a750,0,1,9
e6e37e9558e18a196f5fdf872037b0bc83f92981,0,1,2
2bb291cfcb92bd0bdb5e4c74fc5e003d8e4c4c6b,0,0,0
e4bd99e05972300035ae2f3a2c29df0997ef48fa,0,0,0
ef31878a1004194d1b258a0727fa459d8a101c15,0,0,0
44b37fc04303ec1b71d358e3c5b56ee560f9a85d,0,1,1
9d5d3508cf1f0f934dc35c5a075f0e7835dae315,0,1,7
88516d29caa7d9a331380287f1cb2fe72fce3906,0,0,0
9372ccc916fc2724d8a92b02049d3303be9bab42,0,1,3
a806d58966bca19cb89ca0b2b2d287f2611c3e36,0,0,0
54f4ad7ba0db7f555449a4c666be9394841c72ce,0,0,0
d295614933bee7991ba65fe89cc34c0cbd17fb07,0,0,0
926f3912cfc774ebf89db9d668ec3d31c6634f70,0,0,0
7440066a9f0774ea0121ec09e7793686f407476b,0,1,4
a2fc5a2b48b5723bc6e91f1a7a5439e6bfa3ece3,0,0,0
63bb80560b666c16c4f9d45f13673db317e6fe4e,0,1,1
bc7fc3ce17bd945f0f97fa60c77ee31bbf87851d,0,0,0
b7dfea13b049bf8faeced594e7e6ef223a7e41eb,0,0,0
6fc40b948d116d1eb0146b01423327d5373338d6,0,0,0
