mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay, existsCommonPackages, totalCommonPackages
83961ed01fa6270f77849f29dcca03692912f879,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,1.0,1.0,1,0,0
9dc6aa5d9e2b1455872328e2658751ae1d5d2d7c,0,0,0,0,0,3.0,3.0,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,2.83,2.5,2.0,0,0,0
c8a81b622c6080a396cb40c0a188007e4c69be2b,0,0,0,0,0,4.5,2.83,1.5,1.41,1.0,1.0,0,1.0,1.0,6.0,5.2,9.5,9.17,1,0,0
00eb0af8085464aac61548020b412ec0df21d983,0,0,0,0,0,9.0,4.12,1.0,1.0,1.0,1.0,0,4.5,2.83,112.5,39.06,197938.0,45374.87,0,1,1
e3e3402dee8a40c9b3712a61f5e56a7fb09e5613,0,1,1,0,0,13.5,5.1,2.0,1.73,2.0,1.73,2,4.5,2.83,61.0,15.49,15.5,7.62,2,1,28
a6865a760fc09cbdcbb06de9e85deda7b5628915,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0,1.0,1.0,11.0,4.58,435.0,41.67,0,0,0
8cf856ab04be5d6889a80180b76a51ed1fbf7f59,1,0,0,1,1,5.0,3.0,2.5,2.0,1.5,1.41,1,2.5,2.0,21.5,16.73,86.0,85.95,2,1,5
7b6625cd5460689503023d1745f3f288cd179704,0,0,0,0,0,4.5,4.24,2.0,2.0,1.0,1.0,0,2.5,2.45,6.5,6.0,1.0,1.0,0,1,3
f4d2118bb02b748ff2d4a2519df0bd07c40722eb,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,1.5,1.41,0,1,1
58d241b48d72a4b338f235ebfab499071b5ace0c,0,0,0,0,0,63.5,11.22,5.5,3.16,5.0,3.0,8,20.5,6.32,286.5,23.92,4013.5,296.94,8,0,0
e7484a6015efb0f54baf2f983cbb6df75e508283,0,0,0,0,0,1.5,1.41,1.0,1.0,1.5,1.41,1,1.0,1.0,2.0,1.73,1.5,1.41,2,0,0
43b485562a30fa0c3ac2dfbba144dcbcc27be47f,0,0,0,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,1.0,1.0,5.0,3.0,1.5,1.41,0,0,0
e8be70c3cf44d3f126b69d8641011495aece1e7c,0,0,0,0,0,6.0,3.32,1.5,1.41,1.0,1.0,0,1.0,1.0,5.5,4.24,3.0,2.83,1,1,1
0b29bd3dac92509140bbaae3bef0ae0904e72dc7,1,0,0,1,1,8.0,6.24,2.5,2.45,1.0,1.0,0,3.0,3.0,9.5,7.75,6.5,3.46,0,1,2
f78140ecca15ca4fcfd3f09319692c0986e63d17,0,0,0,0,0,17.0,8.0,3.5,2.45,13.0,8.31,20,10.5,4.47,190.0,27.5,1795.0,1626.17,20,0,0
